"WBIC","landscapeposition","area.hectares","secchi.m","GDD_wtr_5c","Model","Time","probability.high","high"
8000,-3,8.795555459,1.1643,3158.0803873341,"GENMOM","2065-2089",0.913,1
8000,-3,8.795555459,1.1643,3007.43915678108,"NLDAS","1989-2014",0.72,1
8000,-3,8.795555459,1.1643,2958.55745863452,"GENMOM","2040-2064",0.75,1
8000,-3,8.795555459,1.1643,3177.2640506767,"CM2","2040-2064",0.839,1
8000,-3,8.795555459,1.1643,3228.22916214721,"ECHAM","2040-2064",0.959,1
8000,-3,8.795555459,1.1643,3580.50911806672,"ECHAM","2065-2089",0.959,1
8300,-2,5.358412327,1.0561,3373.3521060359,"CM2","2040-2064",0.946,1
8300,-2,5.358412327,1.0561,3170.83047741063,"NLDAS","1989-2014",0.838,1
8300,-2,5.358412327,1.0561,3758.8219554249,"ECHAM","2065-2089",0.946,1
8300,-2,5.358412327,1.0561,3392.79185828071,"ECHAM","2040-2064",0.946,1
8900,-3,20.4752758,4.368035269,3138.88894717057,"ECHAM","2040-2064",0.928,1
8900,-3,20.4752758,4.368035269,3084.60123292408,"CM2","2040-2064",0.989,1
8900,-3,20.4752758,4.368035269,2866.67985259706,"GENMOM","2040-2064",0.699,1
8900,-3,20.4752758,4.368035269,3060.80939649988,"GENMOM","2065-2089",0.987,1
8900,-3,20.4752758,4.368035269,3486.3367512188,"ECHAM","2065-2089",0.928,1
8900,-3,20.4752758,4.368035269,2870.43854900941,"NLDAS","1989-2014",0.855,1
9700,-3,1.417355049,0.7125,3852.21890122424,"CM2","2040-2064",0.868,1
9700,-3,1.417355049,0.7125,3828.16925588525,"GENMOM","2065-2089",0.868,1
9700,-3,1.417355049,0.7125,3905.65025812614,"ECHAM","2040-2064",0.868,1
9700,-3,1.417355049,0.7125,3761.82536822607,"NLDAS","1989-2014",0.868,1
9700,-3,1.417355049,0.7125,3579.36190270691,"GENMOM","2040-2064",0.868,1
9700,-3,1.417355049,0.7125,4281.14597890675,"ECHAM","2065-2089",0.868,1
10000,-3,1.024037267,1,3488.06460206337,"GENMOM","2040-2064",0.798,1
10000,-3,1.024037267,1,3726.17324949121,"GENMOM","2065-2089",0.798,1
10000,-3,1.024037267,1,3644.91743299163,"NLDAS","1989-2014",0.798,1
10000,-3,1.024037267,1,3790.31280866404,"ECHAM","2040-2064",0.798,1
10000,-3,1.024037267,1,3742.71716022807,"CM2","2040-2064",0.798,1
10000,-3,1.024037267,1,4170.40344734386,"ECHAM","2065-2089",0.798,1
10300,-3,1.755229086,5,3849.65503506002,"ECHAM","2065-2089",0.905,1
10300,-3,1.755229086,5,3438.24762924901,"CM2","2040-2064",0.905,1
10300,-3,1.755229086,5,3483.90149229939,"ECHAM","2040-2064",0.905,1
10300,-3,1.755229086,5,3223.84806926601,"GENMOM","2040-2064",0.905,1
10300,-3,1.755229086,5,3374.95377082341,"NLDAS","1989-2014",0.905,1
10300,-3,1.755229086,5,3437.47985374117,"GENMOM","2065-2089",0.905,1
10500,-3,1.161934656,0.846315789,3721.71777674813,"CM2","2040-2064",0.94,1
10500,-3,1.161934656,0.846315789,3704.25916924784,"GENMOM","2065-2089",0.94,1
10500,-3,1.161934656,0.846315789,3764.34170866058,"ECHAM","2040-2064",0.94,1
10500,-3,1.161934656,0.846315789,3471.77549835065,"GENMOM","2040-2064",0.94,1
10500,-3,1.161934656,0.846315789,3619.80535058063,"NLDAS","1989-2014",0.94,1
10500,-3,1.161934656,0.846315789,4129.13189194547,"ECHAM","2065-2089",0.94,1
11900,-2,4.244916582,0.222691,3139.82678061948,"ECHAM","2040-2064",0.317,0
11900,-2,4.244916582,0.222691,3032.92624614853,"CM2","2040-2064",0.253,0
11900,-2,4.244916582,0.222691,3028.63911883201,"GENMOM","2065-2089",0.253,0
11900,-2,4.244916582,0.222691,2838.76991462803,"GENMOM","2040-2064",0.28,0
11900,-2,4.244916582,0.222691,3508.55963957522,"ECHAM","2065-2089",0.394,0
14400,-3,3.988902955,1.507692308,3345.89290747178,"CM2","2040-2064",0.951,1
14400,-3,3.988902955,1.507692308,3175.35201262997,"NLDAS","1989-2014",0.852,1
14400,-3,3.988902955,1.507692308,3370.50721997475,"ECHAM","2040-2064",0.951,1
14400,-3,3.988902955,1.507692308,3065.2396983122,"GENMOM","2040-2064",0.73,1
14400,-3,3.988902955,1.507692308,3291.74080859167,"GENMOM","2065-2089",0.951,1
14400,-3,3.988902955,1.507692308,3733.83522599779,"ECHAM","2065-2089",0.951,1
15500,2,3.261396583,0.4,3820.44195368234,"ECHAM","2065-2089",0.192,0
15500,2,3.261396583,0.4,3457.63014124512,"ECHAM","2040-2064",0.192,0
15500,2,3.261396583,0.4,3155.68043891853,"GENMOM","2040-2064",0.046,0
15500,2,3.261396583,0.4,3382.68202964582,"GENMOM","2065-2089",0.192,0
15500,2,3.261396583,0.4,3271.45945112337,"NLDAS","1989-2014",0.192,0
15500,2,3.261396583,0.4,3426.91016148959,"CM2","2040-2064",0.192,0
16600,-3,1.579361446,1,3630.26658429883,"CM2","2040-2064",0.798,1
16600,-3,1.579361446,1,3380.82813947046,"GENMOM","2040-2064",0.798,1
16600,-3,1.579361446,1,3675.98762826673,"ECHAM","2040-2064",0.798,1
16600,-3,1.579361446,1,3455.07535473535,"NLDAS","1989-2014",0.798,1
16600,-3,1.579361446,1,3601.04131867134,"GENMOM","2065-2089",0.798,1
16600,-3,1.579361446,1,4042.30771674724,"ECHAM","2065-2089",0.798,1
19900,-3,2.082962639,1.9225,3536.13672006525,"CM2","2040-2064",0.953,1
19900,-3,2.082962639,1.9225,3530.56601915731,"GENMOM","2065-2089",0.953,1
19900,-3,2.082962639,1.9225,3586.4471581643,"ECHAM","2040-2064",0.953,1
19900,-3,2.082962639,1.9225,3440.32367321603,"NLDAS","1989-2014",0.953,1
19900,-3,2.082962639,1.9225,3303.54336098947,"GENMOM","2040-2064",0.953,1
19900,-3,2.082962639,1.9225,3936.87088901126,"ECHAM","2065-2089",0.953,1
22100,-2,59.89689782,0.82296,3078.06135311438,"CM2","2040-2064",0.799,1
22100,-2,59.89689782,0.82296,3132.84007724943,"ECHAM","2040-2064",0.889,1
22100,-2,59.89689782,0.82296,3475.77697438289,"ECHAM","2065-2089",0.915,1
22100,-2,59.89689782,0.82296,2900.64722099036,"NLDAS","1989-2014",0.584,1
22100,-2,59.89689782,0.82296,3065.99093931447,"GENMOM","2065-2089",0.863,1
22100,-2,59.89689782,0.82296,2865.20471355668,"GENMOM","2040-2064",0.575,1
25100,2,105.2884855,3.744232903,3119.51576986043,"GENMOM","2065-2089",0.825,1
25100,2,105.2884855,3.744232903,2930.281623169,"NLDAS","1989-2014",0.782,1
25100,2,105.2884855,3.744232903,3141.60258676153,"CM2","2040-2064",0.817,1
25100,2,105.2884855,3.744232903,3196.80109491629,"ECHAM","2040-2064",0.813,1
25100,2,105.2884855,3.744232903,2924.21750536391,"GENMOM","2040-2064",0.812,1
25100,2,105.2884855,3.744232903,3545.40471969707,"ECHAM","2065-2089",0.813,1
25300,2,379.1876698,3.222415398,2927.2096787461,"CM2","2040-2064",0.909,1
25300,2,379.1876698,3.222415398,2688.36549668344,"NLDAS","1989-2014",0.995,1
25300,2,379.1876698,3.222415398,2703.59301966861,"GENMOM","2040-2064",0.996,1
25300,2,379.1876698,3.222415398,3328.09754521362,"ECHAM","2065-2089",0.85,1
25300,2,379.1876698,3.222415398,2982.43511714099,"ECHAM","2040-2064",0.94,1
25300,2,379.1876698,3.222415398,2895.25001390818,"GENMOM","2065-2089",0.883,1
25600,1,17.46297813,1.5,3496.09069358683,"ECHAM","2040-2064",0.935,1
25600,1,17.46297813,1.5,3231.79113640087,"GENMOM","2040-2064",0.935,1
25600,1,17.46297813,1.5,3857.88814254355,"ECHAM","2065-2089",0.935,1
25600,1,17.46297813,1.5,3214.19997824725,"NLDAS","1989-2014",0.935,1
25600,1,17.46297813,1.5,3454.75426854567,"CM2","2040-2064",0.935,1
25600,1,17.46297813,1.5,3437.89739649668,"GENMOM","2065-2089",0.935,1
27500,0,14.28656841,3.14964,3005.51823029635,"NLDAS","1989-2014",0.998,1
27500,0,14.28656841,3.14964,3215.42357797489,"ECHAM","2040-2064",0.912,1
27500,0,14.28656841,3.14964,2939.80547540371,"GENMOM","2040-2064",0.934,1
27500,0,14.28656841,3.14964,3143.1679588527,"GENMOM","2065-2089",0.912,1
27500,0,14.28656841,3.14964,3162.12703979696,"CM2","2040-2064",0.912,1
27500,0,14.28656841,3.14964,3563.39007153811,"ECHAM","2065-2089",0.912,1
28100,0,28.19159278,3.02358408,3126.52354533908,"GENMOM","2065-2089",0.934,1
28100,0,28.19159278,3.02358408,2926.40652428636,"GENMOM","2040-2064",0.991,1
28100,0,28.19159278,3.02358408,2991.57083532646,"NLDAS","1989-2014",0.999,1
28100,0,28.19159278,3.02358408,3544.73107622386,"ECHAM","2065-2089",0.912,1
28100,0,28.19159278,3.02358408,3148.59196586101,"CM2","2040-2064",0.912,1
28100,0,28.19159278,3.02358408,3198.40741284012,"ECHAM","2040-2064",0.912,1
28300,-3,21.93560191,2.533268967,3217.2888259408,"ECHAM","2040-2064",0.877,1
28300,-3,21.93560191,2.533268967,3144.19490120631,"GENMOM","2065-2089",0.875,1
28300,-3,21.93560191,2.533268967,3165.81447423904,"CM2","2040-2064",0.877,1
28300,-3,21.93560191,2.533268967,2947.65762512539,"GENMOM","2040-2064",0.324,0
28300,-3,21.93560191,2.533268967,2952.54074858672,"NLDAS","1989-2014",0.328,0
28300,-3,21.93560191,2.533268967,3568.151382904,"ECHAM","2065-2089",0.877,1
29000,1,3.470815974,NA,3773.93658557633,"ECHAM","2065-2089",NA,0
29000,1,3.470815974,NA,3411.49617039376,"ECHAM","2040-2064",NA,0
29000,1,3.470815974,NA,3379.27604161259,"CM2","2040-2064",NA,0
29000,1,3.470815974,NA,3170.50616746838,"GENMOM","2040-2064",NA,0
29000,1,3.470815974,NA,3359.92427366003,"GENMOM","2065-2089",NA,0
29000,1,3.470815974,NA,3224.40853674065,"NLDAS","1989-2014",NA,0
29700,-2,18.14189365,1.65,3177.66972060796,"ECHAM","2040-2064",0.812,1
29700,-2,18.14189365,1.65,2971.58322768984,"NLDAS","1989-2014",0.646,1
29700,-2,18.14189365,1.65,3118.27101789949,"CM2","2040-2064",0.605,1
29700,-2,18.14189365,1.65,3107.05809513509,"GENMOM","2065-2089",0.622,1
29700,-2,18.14189365,1.65,3521.87977287415,"ECHAM","2065-2089",0.897,1
29700,-2,18.14189365,1.65,2912.11535005677,"GENMOM","2040-2064",0.496,1
30300,0,85.68926308,1.44963001,3039.72923325246,"NLDAS","1989-2014",0.582,1
30300,0,85.68926308,1.44963001,2906.12803880036,"GENMOM","2040-2064",0.639,1
30300,0,85.68926308,1.44963001,3118.13347271849,"CM2","2040-2064",0.658,1
30300,0,85.68926308,1.44963001,3172.80473845986,"ECHAM","2040-2064",0.803,1
30300,0,85.68926308,1.44963001,3516.20456894099,"ECHAM","2065-2089",0.899,1
30300,0,85.68926308,1.44963001,3108.28820814765,"GENMOM","2065-2089",0.698,1
32500,1,45.30188083,2.847872792,3448.02203591003,"ECHAM","2065-2089",0.926,1
32500,1,45.30188083,2.847872792,2854.92638248402,"GENMOM","2040-2064",0.995,1
32500,1,45.30188083,2.847872792,2865.16434876112,"NLDAS","1989-2014",0.995,1
32500,1,45.30188083,2.847872792,3113.01908190964,"ECHAM","2040-2064",0.958,1
32500,1,45.30188083,2.847872792,3042.61717900905,"GENMOM","2065-2089",0.976,1
32500,1,45.30188083,2.847872792,3060.30720076955,"CM2","2040-2064",0.974,1
36200,0,49.53973672,3.299008734,3570.64352426203,"ECHAM","2065-2089",0.898,1
36200,0,49.53973672,3.299008734,3219.40503875385,"ECHAM","2040-2064",0.898,1
36200,0,49.53973672,3.299008734,2958.08840076445,"NLDAS","1989-2014",0.971,1
36200,0,49.53973672,3.299008734,3167.8899680236,"CM2","2040-2064",0.898,1
36200,0,49.53973672,3.299008734,2946.76690304572,"GENMOM","2040-2064",0.948,1
36200,0,49.53973672,3.299008734,3145.45976161563,"GENMOM","2065-2089",0.898,1
36700,-3,34.46121573,1.3,3411.60081564012,"ECHAM","2065-2089",0.994,1
36700,-3,34.46121573,1.3,3068.49740841437,"ECHAM","2040-2064",0.817,1
36700,-3,34.46121573,1.3,2787.92603387414,"NLDAS","1989-2014",0.827,1
36700,-3,34.46121573,1.3,3011.9165978104,"CM2","2040-2064",0.808,1
36700,-3,34.46121573,1.3,2797.03365566148,"GENMOM","2040-2064",0.819,1
36700,-3,34.46121573,1.3,2988.70346166893,"GENMOM","2065-2089",0.806,1
37800,-3,10.33841709,1.66045,2969.88501993961,"NLDAS","1989-2014",0.66,1
37800,-3,10.33841709,1.66045,3245.28970997034,"ECHAM","2040-2064",0.952,1
37800,-3,10.33841709,1.66045,2975.92836044618,"GENMOM","2040-2064",0.672,1
37800,-3,10.33841709,1.66045,3172.55162371751,"GENMOM","2065-2089",0.88,1
37800,-3,10.33841709,1.66045,3191.32219547777,"CM2","2040-2064",0.952,1
37800,-3,10.33841709,1.66045,3595.30680628001,"ECHAM","2065-2089",0.952,1
37900,2,37.88428542,1.812944,3556.33288045322,"ECHAM","2065-2089",0.917,1
37900,2,37.88428542,1.812944,2935.13743819592,"NLDAS","1989-2014",0.582,1
37900,2,37.88428542,1.812944,3212.034525003,"ECHAM","2040-2064",0.917,1
37900,2,37.88428542,1.812944,3139.56142265912,"GENMOM","2065-2089",0.929,1
37900,2,37.88428542,1.812944,2946.27963383784,"GENMOM","2040-2064",0.702,1
37900,2,37.88428542,1.812944,3158.65196709082,"CM2","2040-2064",0.932,1
38200,3,28.40452307,1.524,2972.41269145294,"GENMOM","2040-2064",0.888,1
38200,3,28.40452307,1.524,2961.29815990752,"NLDAS","1989-2014",0.965,1
38200,3,28.40452307,1.524,3240.68262220276,"ECHAM","2040-2064",0.772,1
38200,3,28.40452307,1.524,3187.3726697057,"CM2","2040-2064",0.771,1
38200,3,28.40452307,1.524,3169.29899647519,"GENMOM","2065-2089",0.747,1
38200,3,28.40452307,1.524,3592.52267079005,"ECHAM","2065-2089",0.773,1
38500,0,1.926944112,2.25,2940.93642943853,"NLDAS","1989-2014",0.477,0
38500,0,1.926944112,2.25,3567.72709143151,"ECHAM","2065-2089",0.834,1
38500,0,1.926944112,2.25,2957.78701749855,"GENMOM","2040-2064",0.516,1
38500,0,1.926944112,2.25,3167.48805688927,"CM2","2040-2064",0.807,1
38500,0,1.926944112,2.25,3151.28142888266,"GENMOM","2065-2089",0.831,1
38500,0,1.926944112,2.25,3217.63865074889,"ECHAM","2040-2064",0.834,1
38700,2,171.380935,3.268695505,3105.26913606129,"CM2","2040-2064",0.861,1
38700,2,171.380935,3.268695505,3499.80726598902,"ECHAM","2065-2089",0.843,1
38700,2,171.380935,3.268695505,2878.72766672888,"NLDAS","1989-2014",0.999,1
38700,2,171.380935,3.268695505,2893.59790376963,"GENMOM","2040-2064",0.9,1
38700,2,171.380935,3.268695505,3083.13591115839,"GENMOM","2065-2089",0.95,1
38700,2,171.380935,3.268695505,3159.62623751811,"ECHAM","2040-2064",0.851,1
40900,2,12.91099504,2.25708,2772.05969916706,"NLDAS","1989-2014",0.632,1
40900,2,12.91099504,2.25708,3011.44111756359,"CM2","2040-2064",0.653,1
40900,2,12.91099504,2.25708,2787.06279640181,"GENMOM","2040-2064",0.785,1
40900,2,12.91099504,2.25708,3067.57043176671,"ECHAM","2040-2064",0.522,1
40900,2,12.91099504,2.25708,2980.83370986638,"GENMOM","2065-2089",0.726,1
40900,2,12.91099504,2.25708,3409.70031296406,"ECHAM","2065-2089",0.9,1
42200,-2,6.596558156,0.894556,3177.09178919482,"GENMOM","2065-2089",0.774,1
42200,-2,6.596558156,0.894556,3620.54121935532,"ECHAM","2065-2089",0.902,1
42200,-2,6.596558156,0.894556,2944.73853260277,"NLDAS","1989-2014",0.832,1
42200,-2,6.596558156,0.894556,3220.22539199652,"CM2","2040-2064",0.901,1
42200,-2,6.596558156,0.894556,2979.23527803037,"GENMOM","2040-2064",0.775,1
42200,-2,6.596558156,0.894556,3267.36286058946,"ECHAM","2040-2064",0.901,1
42400,1,36.40985351,1.892105263,2931.15506512231,"NLDAS","1989-2014",0.967,1
42400,1,36.40985351,1.892105263,3137.5902797361,"GENMOM","2065-2089",0.981,1
42400,1,36.40985351,1.892105263,2943.84057231671,"GENMOM","2040-2064",0.883,1
42400,1,36.40985351,1.892105263,3560.06951415006,"ECHAM","2065-2089",0.967,1
42400,1,36.40985351,1.892105263,3210.92762267847,"ECHAM","2040-2064",0.967,1
42400,1,36.40985351,1.892105263,3159.4166840599,"CM2","2040-2064",0.958,1
42800,-2,6.102556579,3.26892,3114.78009351755,"ECHAM","2040-2064",0.923,1
42800,-2,6.102556579,3.26892,2847.98020568952,"GENMOM","2040-2064",0.999,1
42800,-2,6.102556579,3.26892,2839.78754309356,"NLDAS","1989-2014",0.957,1
42800,-2,6.102556579,3.26892,3458.14306186098,"ECHAM","2065-2089",0.904,1
42800,-2,6.102556579,3.26892,3060.12710356554,"CM2","2040-2064",0.975,1
42800,-2,6.102556579,3.26892,3042.25244121885,"GENMOM","2065-2089",0.982,1
43300,3,6.637072135,1.57209,3211.72897593737,"GENMOM","2040-2064",0.757,1
43300,3,6.637072135,1.57209,3402.20244862021,"GENMOM","2065-2089",0.758,1
43300,3,6.637072135,1.57209,3419.1654312529,"CM2","2040-2064",0.758,1
43300,3,6.637072135,1.57209,3824.10378053655,"ECHAM","2065-2089",0.758,1
43300,3,6.637072135,1.57209,3459.75002586145,"ECHAM","2040-2064",0.758,1
43300,3,6.637072135,1.57209,3186.94120135736,"NLDAS","1989-2014",0.756,1
43700,2,19.28515133,0.4,3213.12840231002,"CM2","2040-2064",0.052,0
43700,2,19.28515133,0.4,3616.27164051825,"ECHAM","2065-2089",0.192,0
43700,2,19.28515133,0.4,2995.38710023546,"GENMOM","2040-2064",0.024,0
43700,2,19.28515133,0.4,3270.24015153002,"ECHAM","2040-2064",0.192,0
43700,2,19.28515133,0.4,2967.12724398487,"NLDAS","1989-2014",0.026,0
43700,2,19.28515133,0.4,3192.4417472608,"GENMOM","2065-2089",0.052,0
43900,-2,84.56443975,2.38887,3100.81740232537,"CM2","2040-2064",0.863,1
43900,-2,84.56443975,2.38887,2871.3293785221,"NLDAS","1989-2014",0.574,1
43900,-2,84.56443975,2.38887,3155.83299223287,"ECHAM","2040-2064",0.947,1
43900,-2,84.56443975,2.38887,3081.54030292414,"GENMOM","2065-2089",0.783,1
43900,-2,84.56443975,2.38887,3498.85249214251,"ECHAM","2065-2089",0.948,1
43900,-2,84.56443975,2.38887,2888.81960973493,"GENMOM","2040-2064",0.636,1
44600,-3,5.721596552,0.2375,3995.47729203997,"ECHAM","2040-2064",0.463,0
44600,-3,5.721596552,0.2375,3835.43143639869,"NLDAS","1989-2014",0.463,0
44600,-3,5.721596552,0.2375,4358.77875802951,"ECHAM","2065-2089",0.463,0
44600,-3,5.721596552,0.2375,3941.91822846078,"GENMOM","2065-2089",0.463,0
44600,-3,5.721596552,0.2375,3941.93958416697,"CM2","2040-2064",0.463,0
44600,-3,5.721596552,0.2375,3699.19074072718,"GENMOM","2040-2064",0.463,0
45000,-3,3.102781623,2.20329,3198.58996401471,"ECHAM","2040-2064",0.927,1
45000,-3,3.102781623,2.20329,3146.62116388868,"CM2","2040-2064",0.91,1
45000,-3,3.102781623,2.20329,3532.59614023047,"ECHAM","2065-2089",0.927,1
45000,-3,3.102781623,2.20329,2932.80208311418,"GENMOM","2040-2064",0.642,1
45000,-3,3.102781623,2.20329,3127.46720576655,"GENMOM","2065-2089",0.818,1
45000,-3,3.102781623,2.20329,3009.32168730458,"NLDAS","1989-2014",0.7,1
45100,-3,55.24169865,4.238614872,2847.62287837166,"NLDAS","1989-2014",1,1
45100,-3,55.24169865,4.238614872,3358.64994222124,"ECHAM","2065-2089",0.928,1
45100,-3,55.24169865,4.238614872,2776.00395550813,"GENMOM","2040-2064",1,1
45100,-3,55.24169865,4.238614872,2961.53350884601,"GENMOM","2065-2089",0.951,1
45100,-3,55.24169865,4.238614872,2976.26610370291,"CM2","2040-2064",1,1
45100,-3,55.24169865,4.238614872,3024.77125295568,"ECHAM","2040-2064",0.993,1
45200,-3,52.19449872,5.149324181,2850.69179565807,"NLDAS","1989-2014",1,1
45200,-3,52.19449872,5.149324181,3436.02518621661,"ECHAM","2065-2089",0.929,1
45200,-3,52.19449872,5.149324181,3027.66899781265,"GENMOM","2065-2089",0.996,1
45200,-3,52.19449872,5.149324181,3100.14408058032,"ECHAM","2040-2064",0.993,1
45200,-3,52.19449872,5.149324181,2839.85609355119,"GENMOM","2040-2064",1,1
45200,-3,52.19449872,5.149324181,3048.0360103557,"CM2","2040-2064",0.996,1
46000,-3,21.01787625,3.709359981,2855.15656706448,"GENMOM","2040-2064",0.916,1
46000,-3,21.01787625,3.709359981,3110.97334566095,"ECHAM","2040-2064",0.871,1
46000,-3,21.01787625,3.709359981,2934.21505929062,"NLDAS","1989-2014",0.841,1
46000,-3,21.01787625,3.709359981,3060.56858648431,"CM2","2040-2064",0.913,1
46000,-3,21.01787625,3.709359981,3046.07627397759,"GENMOM","2065-2089",0.919,1
46000,-3,21.01787625,3.709359981,3442.69377953364,"ECHAM","2065-2089",0.857,1
46600,4,3.434286082,11.5591,2712.35439601677,"ECHAM","2040-2064",0.423,0
46600,4,3.434286082,11.5591,2483.4611326873,"GENMOM","2040-2064",0.384,0
46600,4,3.434286082,11.5591,2672.65948754098,"CM2","2040-2064",0.412,0
46600,4,3.434286082,11.5591,2660.7796855176,"GENMOM","2065-2089",0.403,0
46600,4,3.434286082,11.5591,2592.85002228677,"NLDAS","1989-2014",0.443,0
46600,4,3.434286082,11.5591,3016.14013471256,"ECHAM","2065-2089",0.19,0
46700,-2,3.850588876,2.312614737,3173.64058971437,"ECHAM","2040-2064",0.928,1
46700,-2,3.850588876,2.312614737,2914.95386702004,"GENMOM","2040-2064",0.737,1
46700,-2,3.850588876,2.312614737,3509.61340716923,"ECHAM","2065-2089",0.96,1
46700,-2,3.850588876,2.312614737,2978.01894760154,"NLDAS","1989-2014",0.954,1
46700,-2,3.850588876,2.312614737,3106.26604688638,"GENMOM","2065-2089",0.884,1
46700,-2,3.850588876,2.312614737,3124.26151752912,"CM2","2040-2064",0.938,1
46800,-3,7.056532751,4.23814,3140.10323795274,"CM2","2040-2064",0.928,1
46800,-3,7.056532751,4.23814,3177.87811780234,"ECHAM","2040-2064",0.928,1
46800,-3,7.056532751,4.23814,3513.24411339926,"ECHAM","2065-2089",0.928,1
46800,-3,7.056532751,4.23814,3033.38096684831,"NLDAS","1989-2014",0.993,1
46800,-3,7.056532751,4.23814,3063.20424789383,"GENMOM","2065-2089",0.988,1
46800,-3,7.056532751,4.23814,2860.27872237614,"GENMOM","2040-2064",1,1
56200,0,76.78071027,1.11668,3449.62756453767,"ECHAM","2065-2089",0.94,1
56200,0,76.78071027,1.11668,2796.8676294447,"NLDAS","1989-2014",0.744,1
56200,0,76.78071027,1.11668,2835.22721409198,"GENMOM","2040-2064",0.697,1
56200,0,76.78071027,1.11668,3025.56838279112,"GENMOM","2065-2089",0.407,0
56200,0,76.78071027,1.11668,3109.10971014965,"ECHAM","2040-2064",0.635,1
56200,0,76.78071027,1.11668,3050.87645015743,"CM2","2040-2064",0.531,1
56600,1,6.046075883,3.266528696,3154.06212702879,"ECHAM","2040-2064",0.902,1
56600,1,6.046075883,3.266528696,3102.87082677137,"CM2","2040-2064",0.91,1
56600,1,6.046075883,3.266528696,2893.61364564801,"GENMOM","2040-2064",0.999,1
56600,1,6.046075883,3.266528696,2965.60204813343,"NLDAS","1989-2014",0.941,1
56600,1,6.046075883,3.266528696,3084.79422506637,"GENMOM","2065-2089",0.98,1
56600,1,6.046075883,3.266528696,3487.73946486048,"ECHAM","2065-2089",0.902,1
58000,0,37.44606887,2.0750525,3053.71094508729,"GENMOM","2065-2089",0.787,1
58000,0,37.44606887,2.0750525,2923.29897775057,"NLDAS","1989-2014",0.995,1
58000,0,37.44606887,2.0750525,3117.17706743484,"ECHAM","2040-2064",0.758,1
58000,0,37.44606887,2.0750525,3067.95705032113,"CM2","2040-2064",0.82,1
58000,0,37.44606887,2.0750525,2863.30538476063,"GENMOM","2040-2064",0.776,1
58000,0,37.44606887,2.0750525,3451.67476648412,"ECHAM","2065-2089",0.953,1
58900,4,261.3784493,2.24362,2919.05864459248,"ECHAM","2040-2064",0.546,1
58900,4,261.3784493,2.24362,2661.49799088619,"NLDAS","1989-2014",0.552,1
58900,4,261.3784493,2.24362,3252.1262242666,"ECHAM","2065-2089",0.798,1
58900,4,261.3784493,2.24362,2662.4939525089,"GENMOM","2040-2064",0.554,1
58900,4,261.3784493,2.24362,2863.84755688371,"CM2","2040-2064",0.463,0
58900,4,261.3784493,2.24362,2842.08570275433,"GENMOM","2065-2089",0.586,1
59300,-3,118.0058612,3.56377745,2841.43776390707,"GENMOM","2040-2064",0.902,1
59300,-3,118.0058612,3.56377745,3045.24749508491,"CM2","2040-2064",0.976,1
59300,-3,118.0058612,3.56377745,3102.20694566488,"ECHAM","2040-2064",0.918,1
59300,-3,118.0058612,3.56377745,3443.05916217357,"ECHAM","2065-2089",0.906,1
59300,-3,118.0058612,3.56377745,2852.26449183179,"NLDAS","1989-2014",1,1
59300,-3,118.0058612,3.56377745,3026.38838547449,"GENMOM","2065-2089",0.976,1
60500,-2,4.536704618,2.93615,3414.7571059979,"ECHAM","2040-2064",0.889,1
