"WBIC","landscapeposition","area.hectares","secchi.m","GDD_wtr_5c","Model","Time","probability.high","high"
200,-3,2.522659873,0.341225,3540.74620329312,"CM2","2040-2064",0.467,0
200,-3,2.522659873,0.341225,3517.94720262101,"GENMOM","2065-2089",0.467,0
200,-3,2.522659873,0.341225,3951.17029426739,"ECHAM","2065-2089",0.467,0
200,-3,2.522659873,0.341225,3583.27166700814,"ECHAM","2040-2064",0.467,0
200,-3,2.522659873,0.341225,3337.80679458997,"NLDAS","1989-2014",0.467,0
200,-3,2.522659873,0.341225,3298.06037862197,"GENMOM","2040-2064",0.467,0
400,4,7.165791117,2.64265,3196.91721772143,"GENMOM","2040-2064",0.749,1
400,4,7.165791117,2.64265,3430.46552828018,"CM2","2040-2064",0.749,1
400,4,7.165791117,2.64265,3869.15803497933,"ECHAM","2065-2089",0.749,1
400,4,7.165791117,2.64265,3422.07273165717,"GENMOM","2065-2089",0.749,1
400,4,7.165791117,2.64265,3502.8731997497,"ECHAM","2040-2064",0.749,1
400,4,7.165791117,2.64265,3259.615704202,"NLDAS","1989-2014",0.749,1
6100,1,2.209234002,1.547058974,3126.88530944223,"GENMOM","2040-2064",0.768,1
6100,1,2.209234002,1.547058974,3420.51341280608,"ECHAM","2040-2064",0.93,1
6100,1,2.209234002,1.547058974,3347.41092076494,"GENMOM","2065-2089",0.93,1
6100,1,2.209234002,1.547058974,3784.00131024846,"ECHAM","2065-2089",0.93,1
6100,1,2.209234002,1.547058974,3370.22353771271,"CM2","2040-2064",0.93,1
6100,1,2.209234002,1.547058974,3253.31982487577,"NLDAS","1989-2014",0.93,1
7100,1,5.132865915,1.655572135,3061.11657000023,"GENMOM","2040-2064",0.766,1
7100,1,5.132865915,1.655572135,3719.2342821696,"ECHAM","2065-2089",0.931,1
7100,1,5.132865915,1.655572135,3356.85399799437,"ECHAM","2040-2064",0.931,1
7100,1,5.132865915,1.655572135,3276.70861708,"GENMOM","2065-2089",0.931,1
7100,1,5.132865915,1.655572135,3305.5613469419,"CM2","2040-2064",0.931,1
7100,1,5.132865915,1.655572135,3142.53139094293,"NLDAS","1989-2014",0.911,1
