relative.density,Year
0.860644313,1986
1.02595124,1987
0.874100782,1988
1.014406299,1989
0.762838865,1990
0.801985351,1991
0.877796563,1992
0.721305959,1993
0.716227327,1994
0.666639135,1995
0.741360411,1996
0.695468135,1997
0.715016454,1998
0.844526974,1999
0.73210695,2000
0.865105274,2001
0.554972758,2002
0.623795208,2003
0.595539707,2004
0.500679511,2005
0.654178234,2006
0.716980618,2007
0.640519595,2008
0.6802941,2009
0.583611054,2010
0.492684557,2011
0.317704217,2012
0.680166285,2013
0.622238221,2014
0.485265882,2015
